day_of_year,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Median,Average
116,54097.91977044705,61716.4864070104,95168.7609025071,114844.03793222508,60338.54442440491,118436.38859177966,92775.87668868034,162054.3172157015,71227.40356003796,150898.59881808987,130530.55962508221,88478.17367820023,78470.63,93972.31879559372,100047.25563451386
117,51568.160932260675,63860.260060752575,95442.12297322233,117841.34719973178,59062.88532513292,120166.18020905614,94433.43099872554,165921.97073235386,73232.33303396714,157206.20484845893,129045.59160308451,87691.2786225798,76843.9,94937.77698597393,101289.31387827719
118,51581.05590316895,63140.04214033525,92214.81852642017,117335.00907184818,61137.20655863083,118358.86291705577,95779.47621944154,165162.01328427068,74367.87608363816,156499.57986112827,127678.51509832307,88792.05901643423,76083.58,93997.14737293086,101003.87622339126
119,52524.733319637904,63767.41946944877,91355.97202066565,118035.20742701589,61594.88527756369,118625.58815509386,95792.93420229405,161077.51358663331,71962.35687587652,155598.6836353891,127681.32589092957,88332.95418918792,75861.2,93574.45311147984,100529.13117081135
120,52617.34265616096,66707.37152740228,92930.86395045783,119198.36879072047,60403.17869190909,121197.77929146819,107806.09764801299,172229.03816838347,70438.20235516102,156730.41353288337,129037.15922526503,88347.94525256458,76106.22,100368.4807992354,103136.98009086576
121,53942.00784946521,65809.91247813225,91715.014740411,124232.53825448613,59539.88229017897,122520.79184761908,107446.55961070559,173876.8398047411,71844.44293173867,150048.60218979378,122176.52001105853,90420.81323886874,78106.54,99580.7871755583,102797.82710393325
122,52856.485753005254,66054.67403702407,92312.73926816892,126979.33407760285,60399.18407152636,124196.3616388238,109244.1263295099,170255.96726054838,71960.84324204526,152293.83406611686,116720.52890350454,90463.21144934317,78574.23,100778.4327988394,102811.44084143495
123,51563.4718519304,67472.60306784567,90717.44718384574,126509.2894169277,63817.98974892331,130876.02914851488,110232.23859344225,173140.449969704,70308.12327986096,155243.87879750555,119362.45151678132,89896.78147005229,78657.11,100474.842888644,104095.06283711117
124,51286.81611244384,66862.10584624193,92180.1382637175,135608.3272080385,63336.736221174346,128464.4269097829,109985.05619279342,162529.2302683513,74112.20277401946,153607.84315026604,127314.10291442683,88679.26554395744,79845.98,101082.59722825546,104497.18761710111
125,50556.49185100263,66054.67403702407,91172.37062988676,134760.2993644852,64162.90229901908,132439.6943199545,109919.1244235894,172748.1895318215,67918.95505484425,157335.61241138238,129030.344569809,88700.71746537903,81189.14,100545.74752673808,105399.94799651648
126,50349.00004638772,64524.21095613728,91335.57186613465,137058.2954833415,62718.48685997174,131290.65306958277,110632.27404703974,170285.147646996,67161.1477368376,153712.78692761206,129263.57969155915,90299.2554720006,81298.61,100983.9229565872,104885.86748363341
127,52020.65718413275,66743.94509367346,93840.71084253983,135679.14372942082,61122.34133196067,135744.45693623446,114947.34783339126,173298.54308717969,66169.02616438654,153604.16558772823,127727.79496581962,90808.02463413127,79802.42,104394.02933796555,105975.51311588322
128,51462.65662482936,68763.9312923439,93379.66735013953,144594.94377145485,60389.16477777951,136513.7146729291,122171.69180280386,177591.16804368896,63818.22201659883,146975.33246438572,126702.21965198209,96199.05822242751,80312.72,109185.3750126157,107380.14755761361
129,53058.11620720733,68294.10163332167,93320.50690199967,152287.38840660933,60958.56189626873,142187.39426060804,122279.23219789134,175690.79160426365,58099.71340214973,146826.1513405708,123293.82018290355,96126.00370870813,80467.24,109202.61795329973,107701.8151452085
130,53360.56188851042,67551.37690289132,94238.51385589408,155799.00266065513,59576.88164290426,146683.1912010685,118123.92565751362,168226.79879489934,57795.24876002013,146940.102481234,126752.38926677853,97196.97988349452,82152.52,107660.45277050408,107687.08108298865
131,51380.597719049445,67976.19294188746,92300.49917545034,162615.09284370337,55146.585696135895,169281.0024583792,107655.83741744875,170143.83249732264,53782.829715434855,143524.92603582848,123228.78774389294,97071.66732811043,81630.4,102363.75237277959,107842.32096438698
132,51869.434343481196,68080.28693819778,92314.77928362202,151295.0719007396,55632.68515680818,159931.08306303507,106182.74389989574,158092.2423658593,54250.44913510289,142191.51647684237,123239.4647114917,96177.08194151244,80394.05,101179.91292070408,104938.06993471569
133,51445.07257359081,66738.31839117019,92335.17943815302,156766.53338404107,57055.03195538044,179532.6192847379,108847.79490789016,148737.4691490142,54969.83631536826,143403.033492004,123782.63521654898,97286.03672532806,79419.31,103066.91581660911,106741.63006943559
134,52298.485193701876,66763.63855243487,93242.98631478191,157599.5127168006,56779.0757210718,183043.65557126532,115165.14491368322,151369.0752930913,56111.06016361581,143414.22607364072,127196.69671389958,96948.04957751784,81280.42,106056.59724560054,108327.63390045875
135,52345.37599700468,66817.09222621584,93273.5865465784,153176.13574995747,55634.9116665297,189234.63445278627,120684.39949600278,145947.0154824343,58174.96529645134,145235.5255959716,124680.2689129673,96962.80655183489,79136.63,108823.60302391884,108513.8931645612
136,52400.47269088548,66684.86471738924,93347.02710288994,152832.6756212532,54459.38001914615,181354.70337192377,115678.64721353262,138193.24061406654,55951.32507732576,143628.4840649719,133542.43512135005,96952.70326802263,78286.58,106315.67524077762,107085.49657356313
137,52837.729431684136,66687.67806864086,93136.90551122079,157958.0213562986,52678.43418424878,167365.93370775966,116282.15749044144,130349.20872825845,56958.11581715372,145527.06569860387,132061.5316267905,96709.20382822864,77709.76,106495.68065933505,105712.66545411079
138,52387.577719977206,65840.85934190018,92396.37990174597,166349.77914010346,53879.1122943695,167537.82843296585,120373.38427760398,129154.89504178148,54033.401518437124,143486.33827818578,135139.95617678468,99084.13097347588,76815.1,109728.75762553993,106638.63692477759
139,52489.56521716081,65320.389360348614,92473.90048896373,172977.3203349713,53859.33564919599,189789.08146576682,119699.12698992007,118434.19608289837,56417.28136846317,143396.79762509215,135150.55225826526,98934.84769838893,76739.61,108684.52189064365,108245.19954495293
140,57301.73390611125,65914.00647444256,90311.48410867911,176598.7001971597,55767.78190844053,183761.92171833504,119665.2968311899,123851.8501681972,54555.38094816807,144404.71625048135,133740.94987687469,100100.77975931071,77422.36,109883.0382952503,108831.21684561584
141,57830.427713350386,66136.26122332136,90146.2428569781,178270.8553082997,55093.21494839942,183689.24139828145,117856.49454871974,112039.04431590643,55011.564023333354,142784.40351554097,141619.86443275365,102558.92088346393,77633.48,107298.98259968517,108586.37793069571
142,61914.61668102476,67388.20253029677,90233.96352146135,188872.08855923297,52499.39660840639,177288.7586100662,112275.75303556948,113573.53431719607,56470.23986571937,143393.17336056216,141516.47175219978,103898.96838691484,75824.23,108087.36071124216,109110.43060238751
143,61316.75893891399,67118.12081014027,89358.79689208201,198218.0989686646,49150.79147281742,182121.19233452113,113541.42076236823,103662.55336198257,54493.58357681089,145097.43045777778,139816.64997880658,100790.79939850704,76685.06,102226.67638024481,108723.84974611603
144,61778.63335144664,67593.57717166576,90154.4029187905,217134.07703639948,49684.106036701975,184982.48963288654,113747.73534352914,116076.92178286999,55156.53650805941,140278.91746716062,136688.07603554553,101273.92176326814,76775.73,107510.82855339863,111212.4495873603
145,67064.39915375541,66454.16991475556,91096.8900581221,222328.4688797926,48573.07768566252,185505.5572060979,111393.32915073572,115351.063442011,55292.520623985096,140719.79858763123,138721.10817274993,101527.79603018354,77122.36,106460.56259045962,112002.34824212355
146,68563.73258936264,66659.54455612456,91225.41103166732,222267.38963010037,47997.00103800874,200618.679884933,109980.98175761789,117429.93211084434,55028.512984875844,142016.96550131758,139868.4979805551,102588.20074303845,75867.67,106284.59125032817,113687.07081737048
147,67135.90762879219,66088.43425204363,92369.8597008557,222367.4179665529,48021.361673785395,203123.95898062302,108883.10667941142,117223.46654303205,53712.13740946442,143275.81114740015,138343.59243770974,102152.8980913721,74171.78,105518.00238539177,113558.16270925355
148,68071.37915468316,66777.70530869302,96270.3692471804,222228.44054334008,46542.23887731433,200997.07901156144,112572.81640018537,106101.75604795222,54016.489930569485,149924.8975137043,140027.05499370256,100798.55242816094,73333.27,103450.15423805658,113694.06495475397
149,67126.52946813163,66622.97098985338,106715.2483670457,203837.38994035168,48701.75685045049,199393.26661571124,117775.87011933727,104516.93214325559,54807.260829789935,148012.45839804594,138280.4203794171,99157.54130256588,73303.61,105616.09025515064,112912.30378366298
150,72756.94267471603,65283.815794077425,106937.61005143347,222334.66532541357,48159.405276519756,190627.097092544,116489.4598134631,107673.30242417222,59106.37333411575,147843.50371333948,136642.112498894,97123.8223705889,73766.08,107305.45623780283,114248.17586410647
151,73433.34251235901,64563.59787366011,107400.69355928687,203287.67669312138,49014.8434086445,196552.2736607259,119341.81137179933,111910.04105627509,59385.3865036755,144995.41807086038,138244.486721419,98046.30180952861,73844.88,109655.36730778098,113847.98943677964
152,73557.60314111145,62644.89232004835,107696.49579998617,212106.10401825476,49149.28530447639,197383.36735225987,116583.17182250028,110297.21363697307,55728.42848054665,143253.37268611894,136460.7658219515,99086.48122763424,71338.33,108996.85471847962,113662.26513432182
153,77777.77543836397,63517.0312080537,109563.10993957148,214908.66785196008,49930.069875350106,201123.75042651207,126117.9674719036,113477.3627643434,57017.39046545883,145118.53646886413,136707.7718053205,99092.0993650646,66853.7,111520.23635195744,116195.96109006387
154,78579.60817484195,63728.03255192595,109520.2696150564,226533.19983686783,50285.918517313345,195216.5708899625,117497.32691461014,117578.06708196251,55296.33273881935,144217.74683914054,136825.84531632267,99066.78029237846,64751.850000000006,113508.79826483327,116195.47489743348
155,75403.92852115943,63013.44133401189,116229.88044029799,222333.78011889628,49096.24198464014,176715.62237192897,118573.9655428108,111324.47187425262,55752.01126937422,145010.6080030816,139610.8352511169,98071.115249846,63257.24999999999,113777.1761572753,114261.32516345139
156,77647.65345919869,63072.52171029613,116962.24598796043,235451.65549845374,49745.1385973037,179241.89800452336,120787.24811725177,106551.44179649638,55861.60957085893,137098.89183214155,142800.7006504231,94901.22165820337,61526.78999999999,111756.84389222841,115010.18557359256
157,76107.29057070152,63089.40181780591,117149.92740964549,252702.56010718682,50183.36809896325,178908.95291932527,119309.70976132544,107893.34728247202,58449.49362502963,144803.86503084935,143420.89496151006,97943.61162086407,60758.81,112521.63734605876,117496.86860047323
158,76895.05606618866,62934.66749896625,118906.38071476348,238565.81202624124,50221.218764229125,185317.2805674828,119305.14145521958,102430.24783834167,58382.70686808055,140191.29554234757,143193.78696321146,99123.07402943063,63065.98,110668.31427655258,116288.88902787527
159,76982.97632238142,64383.543393555774,117429.40952672002,245882.0438915521,49891.564354283786,183189.0162113726,120515.98950874755,101117.00974339519,56462.65300972573,141736.03170223627,139945.21846364165,99143.08396224507,63227.94999999999,109273.2096350576,116389.87834082144
160,76059.22749731615,64484.82403861446,118622.81856678275,249775.18215454512,49710.43123987997,175393.0712781276,120463.14531919823,112335.76690115906,56114.18086546543,140973.17731668314,139964.55024588484,102806.38111014634,61679.38,115479.29273397091,117225.22971115027
161,76025.2316649216,64400.423501065554,117388.60921765803,253567.4068745684,43993.27815965196,183545.49587639756,120621.80135557875,110897.35792411884,54477.94269388801,137582.46465685498,141000.17565990528,102759.31984560472,61344.37000000001,114142.98357088843,117188.29228585113
162,72989.05215106493,64479.1973361112,117645.6511647485,261242.14737937727,44438.58010395636,183145.17728816567,122052.54544085274,112170.73325743419,52984.28509184652,138354.4330017409,140146.7057840091,101525.57686589853,63259.61000000001,114908.19221109134,117597.8404054338
163,67035.09240169117,64512.95755113077,119298.0636817584,233328.9302700187,42746.69465791985,187547.2973716681,114865.2417912177,108036.74459002014,50510.74579586589,138263.6131964602,136112.67241239653,99211.80314658073,63328.99,111450.99319061893,113455.82140556067
164,69281.16187989556,65199.41525652852,136723.87568212746,239948.50460623103,41280.210578397426,189013.59398735332,116524.40118178657,117373.56296722063,41784.70281924237,137424.00967968392,138162.06376700132,99142.50342137727,64483.5,116948.9820745036,115988.1671522371
165,66384.48250586473,65283.815794077425,142601.16020250478,223786.40401375113,43412.29009349483,200600.68285330068,116593.7900475032,121590.68706861933,41340.51669370251,133792.54991865103,135151.72510697876,98619.32373673774,65365.32,119092.23855806126,115763.11900293217
166,68494.56865449098,66614.53093609847,139898.139727149,212480.54637506377,42052.743966185495,203482.0537638714,115338.37014250956,121363.82238887469,41965.66615284472,136217.34278323152,133558.79433875045,98511.83940413265,66095.44,118351.09626569212,114998.20155276688
167,69053.74148387695,69456.01570024493,141046.66842724357,219589.63991533138,42500.33790579145,208278.26269388688,116566.13327540264,115833.03772571434,37982.323827289314,140203.07440207,133643.48210447692,100622.97626989993,65449.5,116199.58550055849,116231.3078109357
168,71126.31498986097,69613.56337033621,156467.1452372166,234072.50374453305,42331.71253717619,215346.25077072167,117425.34522650912,114475.53114377857,38218.63757333799,141692.06084580635,135051.1432190314,98015.72041478269,64464.52999999999,115950.43818514384,119486.32742275756
169,71270.5042100171,70046.81946308725,152287.15357381737,221282.15477636887,43806.5132853643,208108.67528042846,116550.20593789828,107126.4191319386,35587.02631959794,140252.85474134944,134525.16101408575,98072.82878176226,62818.8,111838.31253491844,116576.35970964294
170,69482.79233409763,69273.14786888896,153392.84194939685,227957.49712316977,44138.132262710984,214481.7010588456,115413.1915884602,107381.6494407016,38242.23904900298,142205.48055488436,131870.68083096272,98044.57891404994,63112.66,111397.42051458091,117656.99441459763
171,69512.09908616188,68938.35906994497,155416.5372788708,243456.57803420772,44218.81049732613,220094.00615403475,115042.17105202179,107229.35015383393,38154.653842002335,150283.5931061568,130880.83695982784,96841.08024084386,64281.67,111135.76060292785,120005.67295626941
172,69362.0485155929,68327.86184834124,150028.8564672371,233968.04937549416,43879.267764794036,228079.61211294355,115270.33942185146,95555.02288831465,38966.765109559616,160383.61888109613,130962.28928082745,94880.78100151925,63362.23,105412.68115508306,119138.70938896429
173,70327.99906363069,69869.57833423454,135922.14960905968,238421.52336392476,39816.67334997701,246356.28992909726,114876.84775808135,97905.53771930034,37351.56831692027,159428.678475454,129199.55832902569,94501.18218247488,63865.030000000006,106391.19273869085,119498.13220259838
174,69006.85068057413,68882.09204491237,127107.24283622023,239674.09058587454,40427.71929737469,248903.10063624647,119266.74299038351,101040.72430705647,39445.8956210801,163118.28636298998,130123.15646937734,98509.69514834674,62398.06,110153.73364872,120458.79974836971
175,67264.8573378749,67554.19025414294,127027.68223354936,227222.77571382816,40329.621898467645,253172.08883190466,118845.84148997799,104657.49288790183,39911.478175469056,162802.97534888165,128638.49177032278,99199.73351466784,60910.590000000004,111751.6671889399,119718.93578808242
176,65685.80953665293,68142.18066573364,134122.85597942662,221403.42806923608,40855.86401970736,261665.0726441402,114515.95157571543,95666.52395131763,39981.79674469104,162625.38638691258,121826.40444854925,100372.92233643717,59849.130000000005,107444.4369560763,118905.34969654334
177,67679.84094710475,68235.02125703744,134914.38197522893,213129.40275222927,40155.364769968524,292953.6043304673,114091.46951106477,95279.66505342905,39482.85818550239,160987.1122233457,124838.07772952167,100317.16232244088,59794.77,107204.31591675282,121005.33008811175
178,70318.62090297014,70595.42295715513,127460.16550960628,221948.7152838799,40343.63581259722,255567.5398884025,112837.65468659485,98822.38123681588,38767.02150434735,162906.63997404065,123211.43767154496,100331.6009356369,60116.950000000004,106584.62781111588,118592.56969696598
179,69256.54420816158,69993.36578930628,131848.23874922155,226835.94046577727,38748.47256828684,284440.7776372012,111283.1959332638,103555.91066735401,37880.12551342404,160808.61719524418,124647.30781981203,100371.92979882447,59467.0,107419.55330030891,121639.20219548978
180,70336.20495420869,71917.69804542129,131791.11831653482,226293.3088706852,40855.340135067,276576.9977385729,112642.57566909975,108608.94571496267,37647.11933759921,162559.35015525602,121818.98314720695,101469.34867378307,60254.51,110625.76069203121,121876.41589653312
181,74566.92768220435,73999.57797162759,129222.73886108356,219504.6600896726,41574.502775118584,252931.8976789655,113745.75985980767,104768.8732461005,35537.16983735392,162695.68645919266,123242.19461798003,100343.51138698927,58366.8,109257.31655295409,119344.45837217469
182,75561.01271222383,72553.5154282897,136360.75293147587,214058.86959537223,41804.42264665576,242864.17359890122,112648.50212026417,100987.46331214433,36083.53558992162,162831.64967707472,126885.54803881985,99061.51797031869,60246.33,106817.98271620425,118475.08030178848
183,76203.41671747225,71588.53594898057,137939.72489217427,222135.49385902582,43352.04335985365,247564.39836021097,113908.2433958985,101195.22645660322,36024.76548622693,162847.90556945186,127524.10349873194,101824.03105332382,61496.99,107866.13722461116,120175.65738316282
184,75897.45422592146,72193.40646808106,142764.3614387527,226723.51923808284,43218.38729098228,274528.79710010905,112819.38146217124,104479.39294910787,36012.09581045427,165481.67992259195,125100.027423223,102700.88185276663,62424.979999999996,108649.38720563956,123493.28209852037
185,73735.78819366211,73121.812381119,135144.9037214291,228717.8895215124,43680.97742841848,258053.89902776113,111894.36120959332,107209.76579933081,37665.80617502201,164387.20533254556,121847.55616845134,101392.99818610452,63076.35999999999,109552.06350446207,121404.4135954125
186,73932.7295675339,75963.29714526543,137774.48364047328,230150.15366646982,42775.966712199865,253357.82742759728,112612.81994554512,102346.41835173209,37900.68103458912,162610.94262680045,117539.19752705705,101462.53200036756,63575.38999999999,107479.61914863861,120702.25413713591
187,74068.71289711204,76596.30117688222,136493.3539359273,230005.8650041533,43233.31800323249,258611.11481483898,111912.63443401693,102542.59383497498,38248.01328176662,160798.11748770878,114871.04758996287,102343.30613244923,63610.4,107227.61413449596,120810.36488275214
188,73135.5859113862,74804.19642959381,137849.96421223792,221595.51788348562,44280.23597140812,264548.0586729343,115131.43822268565,102814.87369735009,40415.89197802258,161194.7612617105,117738.66269447021,101416.39772850196,,108973.15596001787,121243.79872198224
189,73204.74984625784,75673.52196634753,130230.50649491431,224706.133585204,43864.53350928397,284338.3329956018,114008.49919476308,98752.82509331875,40819.69584789177,160963.0215238229,113799.18519500119,101667.73447001133,,107733.45983250625,121835.72831020156
190,72779.21580628488,75822.62958268392,134918.46200613512,222508.16580280024,43774.35986556232,290081.92412923713,116560.33029197081,102268.44304813271,40393.07534952935,160913.24118454347,114847.69172334058,103986.24615189541,,109416.96893761799,123237.815411843
191,72304.44642284396,80301.48477527911,133145.68857739234,205876.02054964518,41699.12183394378,279592.6541928617,114019.11741976596,101185.60024845765,38961.15905833278,161326.2474469379,117313.97013100598,108604.34575608568,,111311.73158792581,121194.15470104599
192,74286.75513247008,82397.43145774356,131903.31916645524,207075.47538055823,41788.575136284926,260168.3195133849,114181.10708492644,103472.98646677694,37341.34661685,162806.9726994662,116356.27849184466,110051.4562318344,,112116.28165838041,120152.50194821629
193,74577.47811294747,87059.15448169471,132035.92017090664,210149.79761506818,40376.05117471938,272425.68244204915,113946.39492526939,99903.89628364326,36112.7057431386,161661.27872392992,116082.15543735836,110004.95678103581,,111975.6758531526,121194.62265764676
194,73774.47310638693,82099.21622507078,136470.91376594323,207418.0503027452,40687.36962225218,261583.3938082704,114745.72502606882,98542.2857383602,37157.16914721092,166705.4554795462,116583.6493700273,111237.27649925965,,112991.50076266423,120583.74817426183
195,72669.02241852328,81353.67814338878,135051.0630105865,194292.20806453226,40879.30785736338,243305.7930674176,113949.72855404936,98901.41270745317,38308.76419022814,160969.9502648361,119963.13205185918,112499.46598148819,,113224.59726776878,117678.62719264383
196,73128.55229089079,81781.30753363657,134987.82253154047,180218.30964631352,41689.42996809715,251612.80755278576,114115.91612211795,95588.2770619085,39042.5776089839,161099.30452975174,123286.11578014764,110062.57078038412,,112089.24345125104,117217.74928387984
197,72320.85820399995,77991.72339769077,136228.15192702448,170347.37177213543,43754.452249228714,218890.28161524172,113858.97977059438,95149.45474575438,39520.04499197375,161115.40052810547,130424.57858874681,111478.126050899,,112668.55291074669,114256.61865344958
198,73393.48532955164,78441.85959795158,135267.30464861498,191554.2643065883,47982.13581133859,223263.79103307228,112640.6001853783,95415.72954411388,39042.09175121091,160849.81655526883,131170.4294844146,112326.55843850662,,112483.57931194245,116779.00555716753
199,74069.8851671946,78183.03128280162,137888.7245058468,203334.59263853723,48152.922204095325,245116.10986469002,112772.09332058858,95461.74825076599,40482.94035069557,158958.64334472019,130008.50039686797,110160.5698242943,,111466.33157244144,119549.14676259151
200,73772.12856622177,77583.78746620439,137619.44246603778,200613.46780442158,49010.062961301235,242469.85402121345,112807.52855984242,93273.3399720001,43804.46964208524,159066.30532046373,129141.21921629384,110138.56545269207,,111473.04700626724,119108.34762073147
201,73500.16190706551,78382.77922166736,136823.83643932932,246407.85656281584,47987.178201002025,253380.2083515503,113572.04076005098,89540.48354558706,43514.52467263314,159058.68370534922,135088.9777008065,109994.46959116582,,111783.2551756084,123937.6000549186
202,72943.33361784469,78391.21927542225,136313.8325760546,234469.9614707913,48576.54842140489,244126.04239373718,112873.33686131389,96571.96086482368,43247.99431047181,159088.3706956904,135325.650482579,110016.17432877175,,111444.75559504282,122662.03544157544
203,72680.74511934898,77808.85556633481,135983.35007265265,249593.71481850295,48535.48896271683,238214.70969604165,115434.79844166376,97572.69422135095,42352.988232107,159028.09064887554,137643.86685092977,112265.95746275784,,113850.37795221081,123926.27167444023
204,72694.81236033983,77713.20162377939,133317.04987545262,245297.807590148,50504.967782563086,228117.91348795593,117882.17583709884,100102.69709638042,41892.82486057066,159846.64145257327,136646.35902009808,111166.25387857755,,114524.2148578382,122931.89207212815
205,70801.59617698904,81139.8634482649,133421.09066356067,243854.92096698325,54487.80076088558,225414.43631313552,118276.16137179933,103063.73682768451,42360.930138011696,155487.66388515456,133532.24347046032,111076.34495256709,,114676.25316218322,122743.06574795803
206,70638.65063551179,81145.49015076815,135116.34350508568,224864.58555179695,53905.175555227324,228307.11305127016,117911.06728652533,105193.6032763487,40439.86719043603,155523.10706033744,132059.8936828975,109984.01985554535,,113947.54357103535,121257.4097334792
207,69758.27580350162,82155.48325010338,133468.01101898195,220573.10435602834,51942.769178025905,226069.7128494921,119353.91120959332,113095.63382063898,39486.37131093788,157129.18922719682,132720.91526213198,110243.67144045165,,116224.77251511614,121333.08739392366
208,69369.08213608831,83050.12894812175,133366.010246327,234758.53879542428,53715.791257737874,217882.6785750061,122196.38534932223,117480.32636665353,42668.889218739365,155534.7793240443,136939.75319223895,111520.19653668998,,119838.35585798789,123206.87999553281
209,69160.41806139084,83072.6357581348,133457.81094171645,245704.11738157907,53707.14716117196,220188.37520451707,138203.60647665392,120193.40825365571,44640.0889511204,155714.92659038745,138267.8425880413,110260.97530373714,,126825.60959768608,126047.6127226755
210,68505.11908523412,82006.37563376698,133408.8505708421,239919.29279116084,53824.104407131905,219544.865958074,135429.9038639787,120728.76423707549,44802.10383157604,156442.71088681225,137768.1685930312,110154.19323831084,,127068.8074039588,125211.20442474952
211,65894.47361135042,81016.07599319317,133865.8140323362,240761.12418909313,53356.14445213204,220711.44277772846,138649.20152357782,124974.82731531313,44248.03910199014,155546.8779718135,135182.40116729564,110017.26986557069,,129420.32067382467,125351.97433344954
212,68229.63561583014,80270.53791151119,133376.21032359247,252583.05722735415,50331.69293776464,231107.2665883206,137113.13946240296,125950.90671555529,43536.50039344235,155526.8912188908,133691.6497878486,108730.0515810899,,129663.55851957388,126703.96164696693
213,70200.22162463055,79367.4521597379,128645.41448785663,241325.88594711715,49679.78398841902,239378.05627924931,139894.99094542925,121509.87520211813,43490.82976278104,155969.4778756108,130672.25188259073,106256.54485106467,,125077.64484498737,125532.5654172171
214,69249.51058766617,79375.89221349279,125291.62908296238,237994.85382259625,49318.63101447216,241914.94554588327,144235.7460201599,118739.33782825324,43096.29456427355,155441.13472435053,131651.92432436542,105189.44519110523,,122015.48345560781,125124.94540996506
215,68547.32080820666,79972.32267883839,113616.62064487858,246343.2364870545,48565.93975743764,249809.64342193134,137013.1305990036,116008.87444942704,42787.19558646309,155530.72867545197,125132.40209202151,106868.45365285427,,114812.7475471528,124182.98907113074
216,68957.6153371062,80256.47115525302,115868.79770509953,252154.61727299108,45852.08634922256,253205.77558342158,138561.5394334376,120072.61292071905,42292.85398928045,154669.69935954257,122500.02404068908,107664.2721834266,,117970.7053129093,125171.36377751577
217,68025.66062146293,79429.34588727377,117325.36873861199,286435.1248611375,45958.82784469554,271323.71035133116,138435.97274939172,123394.28843117031,43299.140184498,154623.06360272298,118192.7978049492,106451.45676564847,,117759.08327178059,129407.89648690778
218,68227.291075665,78374.33916791246,117425.32949581381,287462.84962769836,45300.76325082571,261786.20651089624,143737.80065461708,128790.1251230859,42991.704335218164,154957.56189963708,110771.71889945562,107521.7119461313,,114098.52419763472,128945.61683224638
219,68618.82928324344,78467.17975921628,120005.94904398367,296825.6789609583,43963.285763991466,275075.8607154968,145161.63054686593,133416.98168279437,43291.16090491847,155382.29372374614,113618.91025912443,109978.01781205727,,116812.42965155405,131983.81487136637
220,68988.09435925302,75614.4415900633,121099.39732684457,303555.9041118305,40928.683984717136,273191.70994229696,143440.98422546635,133064.10118732564,44437.859996530904,158926.55794402832,111318.24617841706,109281.05040957205,,116208.82175263081,131987.25260469547
221,69005.67841049157,74596.00843697318,120336.43154738565,295682.87734715117,42951.337095559735,273895.6707565307,145071.7460375391,139377.11333496866,43273.707398765575,157333.69368310177,125712.1735655518,108848.80027924286,,123024.30255646873,133007.10315777184
222,69139.31719990456,74202.13926174496,119734.62698872153,303259.3599285421,40017.38665281421,261065.86378325356,143909.6677383849,136998.50446077436,44722.10548056905,157177.63711628143,122290.0841209726,111326.97006333528,,121012.35555484708,131986.97189960818
223,67175.76481159957,75395.00019243616,121487.00026293332,319119.6050986299,41802.91647831472,265140.5763297525,146754.7347004982,138027.69397492326,44964.95961971569,156573.50419793834,123243.4483528117,111222.5007978178,,122365.2243078725,134242.3087347809
224,66634.17603345217,75755.1091526448,120218.11065110592,339612.1359736386,41330.56898945185,262588.92026793305,140228.72422662497,133623.11531239477,45381.32104433302,157070.24163057687,119031.70817957434,112508.74527181067,,119624.90941534014,134498.5730611284
225,64472.51000119283,74725.42259454817,119961.06870401549,360063.0621423353,40919.51600351087,250215.26882718303,143166.02158498435,143857.28338121096,45695.35334722309,155711.51551788862,119355.00999390948,115294.47062596555,,119658.03934896248,136119.70856033065
226,59274.6644550768,74863.27680587805,119196.0629091035,377503.400945766,40394.05970923169,231873.06335739366,145048.53410381183,141657.40814603335,45353.38422238593,157060.96777722074,122251.86543013612,111145.63531420815,,120723.96416961981,135468.52693135384
227,58797.55053147075,74064.28505041508,116052.39909587841,368645.13932735514,41327.88408067001,238468.05252594288,145166.8161916348,142032.13621108647,44842.710329295776,155499.92242694713,119093.28273703309,109977.73690518574,,117572.84091645575,134497.3262844096
228,61453.9145385747,72381.90100194026,115666.83617524274,382561.4709854982,41164.30110171819,239338.3705171883,146772.02018306105,138637.49464641567,44632.14704521571,153654.47890708564,116344.28712482558,110003.37433899293,,116005.56165003416,135217.54971381326
229,58503.31074074564,72350.95413817234,117678.29141199806,382210.0439981385,42833.33208031908,235705.04670803092,146755.35203916117,134899.93073263363,43681.267322956744,141907.43809530124,119124.42389252945,110099.2759449291,,118401.35765226374,133812.38892540967
230,55565.60191382486,70679.82349470403,116209.48028576699,363811.9117430118,41846.92278810481,238852.45066311542,152087.4295388715,135521.31906534205,43465.90152165903,138625.61326539592,120349.4845953097,108864.48424623594,,118279.48244053834,132156.7019267785
231,57441.2340459371,63615.49850186075,116968.36603431971,367928.12204835913,42543.165475140726,249649.28525546376,148555.7585158151,140856.92405989527,39096.694690160315,138668.9445457323,119290.96840984645,106108.4413848381,,118129.66722208308,132560.28358061405
232,60629.80867052789,66125.00781831483,117137.68731692692,364756.42709694855,41138.17235528034,248744.81905035186,145147.06135442012,147826.2987573023,39473.38395892904,139482.325442674,119422.34768728798,107077.03636851863,,118280.01750210745,133080.03132312352
233,60966.25018422552,65880.246259423,117857.81277187075,355086.4311021928,42313.63851708383,233051.63819813638,146629.90882284788,148164.15150463153,40348.880979024434,138799.31147279602,119492.94104692296,105073.76774141418,,118675.37690939686,131138.7482167141
