day_of_year,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Median,Average
12,98945.45631933307,81303.03782085945,91182.57070715225,72243.47428817341,89710.00581492201,83825.32798871504,100426.06086780212,101282.25462052763,81963.9820618175,100419.0429744016,86244.11574779739,88299.14236541957,91201.01,89004.57409017079,89653.70596474344
13,96946.73582855097,73147.13254238367,87926.70604400673,72987.93296920505,93352.64120491197,81050.78561206443,100340.25079365079,112444.15981545045,79719.13228221705,105602.06104032077,86463.05424816055,88413.49018925207,95474.68,88170.09811662941,89866.17354751454
14,95604.48658400815,33760.21501956169,88042.98692483336,73029.53767551716,88459.23123606702,84795.0911162878,108585.30250839995,117403.37705389097,80629.55500145565,111782.65791811715,85321.60957004105,90459.38175232815,97089.48000000001,88251.10908045019,88156.11936337566
15,98558.60719208494,59617.72637329432,79138.31947205757,72246.12990772525,90483.39051525066,82824.41615254786,108704.32540261847,110277.35769666024,80665.28423460804,111278.2455723563,86186.46416707,93586.7834978725,95514.28,88334.92734116034,89463.92084867884
16,95721.71359226517,56115.10406501479,78385.55376986416,73603.15149871395,72464.18185339349,83153.43880777477,107545.70419997684,108488.60302504228,80648.26052571589,112653.653961484,87423.88022440106,93523.11127366181,95491.29000000001,85288.65951608791,87477.19639977567
17,93075.90001590436,51765.6630299946,78456.9543107226,79870.41364104924,72787.41867649445,83927.54189913967,110040.36973699456,109511.84782757773,78743.90361079619,113048.64549724407,86196.31205195749,97944.02361760897,95169.12,85061.92697554859,87947.41615962365
18,94857.75054141098,51765.6630299946,78509.99471250318,77198.86037190123,72960.3006078126,83709.27020780399,109993.20506314447,109621.77972812437,79435.50346381386,110252.09902830163,83306.91836013223,97724.38253476919,95341.62,83508.09428396811,87444.64397080935
19,98651.21652860797,63443.884075511305,77706.22862398229,79858.02074980733,74376.16433396043,85476.209544219,106995.03811261732,109770.3975184599,77981.03215984798,112299.70189172513,84251.10201755876,94649.43546569959,92417.61999999998,84863.65578088889,88788.20258516642
20,97251.52605001922,58517.70603390693,83179.59008464609,79179.95255757163,84061.28516584077,81895.72317408476,106890.70787857722,105733.27445652339,76234.35477910184,120605.18374424607,84292.07083641308,96538.2345426605,88416.01,84176.67800112693,89531.63410863261
21,96652.49603782587,63443.884075511305,83204.07027008326,81669.15328416016,74197.1922436981,81737.44158819018,107504.09557409339,93936.00934779055,68148.50416574588,122684.01924023677,84238.4028970057,99224.1630489275,89853.94,83721.23658354448,88053.28598110571
22,96067.53326662336,65182.53514901874,77602.18783587424,81449.62206787497,69085.06043750365,82796.26694922548,106414.49283397058,101044.10404157778,65490.24548184091,120737.68259162155,80103.01921932309,97153.04604878913,89207.28,82122.94450855022,86927.1496602703
23,94917.53631562206,65905.56642068768,79407.6015118666,81595.681143226,72566.27387268326,82129.45385413026,102974.0644652995,96535.4778377139,66350.43798208704,122096.08891626299,79948.14252455249,97452.51150095188,89223.39999999998,81862.56749867814,86823.2363620903
24,91526.15896674663,69647.32358535577,82145.30224992504,79910.2479343268,72954.6033623487,82659.67409375962,104013.04543505967,96738.02049938537,68477.59805959872,120768.64873414977,80684.2061999214,98094.27133962144,89142.15,82402.48817184233,87301.59170501657
25,94080.53547666698,71127.14634371322,80197.0874922158,78973.69943904561,73396.43457091074,82585.60938665735,102815.408428919,97803.11969282343,68721.49866164105,123285.91364225255,80532.44362070042,98084.06505662297,86150.55,81559.02650367888,87633.58015101409
