Asset,Price,Week To Date Return,MTD,YTD,90 Day BTC Correlation
Bitcoin,82497.1792472238,-0.05525939636200545,-3.899136742039422,-12.660543617947905,0.999999999999995
Nasdaq,17322.990234375,-0.04759025393452583,-8.087581440747982,-10.293721409785094,0.34784290704785104
S&P500,5580.93994140625,-0.03235849560569127,-6.273575591464442,-5.11235741448024,0.3263165377249834
XLF Financials ETF,49.209999084472656,-0.01874381680569203,-5.349291262784162,2.1906484759301126,0.21314762242320293
XLE Energy ETF,92.43000030517578,-0.004523405232606151,2.3636095101022825,8.74489564830483,0.25676194821764586
FANG+ ETF,29.420000076293945,-0.01867910188435614,-6.751186092786254,-10.983356261915155,-0.08284977121417338
