date,BTC Price,Bitcoin Market Cap,Bitcoin Supply,Non-Zero Address Count,Addresses Holding 0.001+ BTC,Addresses Holding 0.01+ BTC,Addresses Holding 0.1+ BTC,Metcalfe Value (Any Balance),Metcalfe Value (0.001+ BTC),Metcalfe Value (0.01+ BTC),Metcalfe Value (0.1+ BTC),Metcalfe Scale (Any Balance),Metcalfe Scale (0.001+ BTC),Metcalfe Scale (0.01+ BTC),Metcalfe Scale (0.1+ BTC),BTC Price / Metcalfe Value,Power Law Price,BTC Price / Power Law Price,Days Since Genesis,Power Law Exponent,Power Law Scale,Hash Rate (H/s),Hash Rate 30-Day MA (H/s),Hash Rate 60-Day MA (H/s),Hash Ribbon 30D / 60D,Hash Ribbon Capitulation
2010-08-16,0.06,224361.0,3739350.0,54798,54798,54798,53156,0.2272365506997433,0.8912624503243121,2.4110969956732133,11.783307658912129,0.0002829729282304137,0.0011098705054862863,0.00300248870620607,0.015594043748762854,0.2640420293972882,0.19550918336135942,0.3068909550356111,590.0,5.631102078088261,4.8777174654786374e-17,3739738855.449032,2782936239.1115947,1647580435.0807483,1.6891049322124307,False
2010-08-17,0.07,262206.0,3745800.0,54908,54908,54908,53271,0.22775690558657005,0.8933033753869543,2.416618229385169,11.813969948520683,0.0002829729282304137,0.0011098705054862863,0.00300248870620607,0.015594043748762854,0.3073452364472572,0.19738250849706998,0.35464135364881694,591.0,5.631102078088261,4.8777174654786374e-17,3358132849.790967,2842230699.8994956,1701389219.753334,1.6705352701785425,False
2010-08-18,0.07,262671.5,3752450.0,54916,54916,54916,53268,0.22741953515626695,0.8919801481356472,2.4130385551275375,11.791705288994635,0.0002829729282304137,0.0011098705054862863,0.00300248870620607,0.015594043748762854,0.3078011743885628,0.19927057074688298,0.35128117382127266,592.0,5.631102078088261,4.8777174654786374e-17,3383573250.1681714,2902673992.895427,1755607610.4578252,1.6533728696576289,False
2010-08-19,0.07,263144.0,3759200.0,55031,55031,55031,53357,0.22796294890382293,0.8941115141799533,2.4188044552439805,11.80989735558025,0.0002829729282304137,0.0011098705054862863,0.00300248870620607,0.015594043748762854,0.307067443795583,0.20117346085720136,0.34795842205890165,593.0,5.631102078088261,4.8777174654786374e-17,3510775252.054193,2965251620.586022,1811456412.731437,1.6369434007605042,False
2010-08-20,0.07,263819.5,3768850.0,55103,55103,55103,53411,0.22797463237689153,0.8941573388538595,2.418928422918758,11.803513846849183,0.0002829729282304137,0.0011098705054862863,0.00300248870620607,0.015594043748762854,0.30705170689462863,0.20309126997864121,0.3446726193960075,594.0,5.631102078088261,4.8777174654786374e-17,4935437673.177633,3066895067.50791,1891452806.639795,1.6214494259342966,False
2010-08-21,0.07,264425.0,3777500.0,55223,55223,55223,53511,0.2284443430277277,0.8959996281524717,2.423912295168092,11.820624168436286,0.0002829729282304137,0.0011098705054862863,0.00300248870620607,0.015594043748762854,0.30642036949675605,0.20502408966714597,0.3414232937877892,595.0,5.631102078088261,4.8777174654786374e-17,4401189265.256343,3159153162.3052425,1962559461.0571802,1.6097108011206387,False
2010-08-22,0.06,227286.0,3788100.0,55295,55295,55295,53556,0.22839951562449712,0.8958238070483319,2.4234366533009704,11.807381044048537,0.0002829729282304137,0.0011098705054862863,0.00300248870620607,0.015594043748762854,0.26269757987860054,0.2069720118851022,0.28989426857051676,596.0,5.631102078088261,4.8777174654786374e-17,5393364879.967311,3280573132.3853207,2049741555.2061987,1.6004813504672806,False
2010-08-23,0.07,265912.5,3798750.0,55360,55360,55360,53588,0.22829496785690673,0.8954137519791469,2.4223273475683964,11.788353009834713,0.0002829729282304137,0.0011098705054862863,0.00300248870620607,0.015594043748762854,0.3066208627247333,0.20893512900245598,0.33503221949420087,597.0,5.631102078088261,4.8777174654786374e-17,5520566881.8533325,3407436444.643432,2139033996.83487,1.5929790969593836,False
2010-08-24,0.07,266665.0,3809500.0,55446,55446,55446,53639,0.2283585897359174,0.8956632883834211,2.4230024085164232,11.777472955792387,0.0002829729282304137,0.0011098705054862863,0.00300248870620607,0.015594043748762854,0.30653543657346405,0.2109135337978309,0.33188956033090705,598.0,5.631102078088261,4.8777174654786374e-17,5469686081.098924,3519969338.000498,2227767810.4149127,1.5800431811360618,False
2010-08-25,0.07,267421.0,3820300.0,55596,55596,55596,53772,0.22894676585175552,0.8979702204531513,2.4292432604456446,11.802490505691486,0.0002829729282304137,0.0011098705054862863,0.00300248870620607,0.015594043748762854,0.30574793113839155,0.212907319459647,0.32878155705336065,599.0,5.631102078088261,4.8777174654786374e-17,5520566881.8533325,3630287612.8417583,2317140636.8483834,1.5667100887667431,False
