date,BTC Price,Fleet Efficiency (J/GH),Network Power Draw (W),Daily Electricity Consumption (kWh),Subsidy (BTC),Fees (BTC),Miner Revenue (BTC),Power Expense ($0.03/kWh),Power Expense ($0.04/kWh),Power Expense ($0.05/kWh),Power Expense ($0.06/kWh),Power Expense ($0.07/kWh),Power-Only Break-Even Tariff ($/kWh),Legacy PUE/Subsidy-Only Cost,Bitcoin Production Cost,Hayes Network Price,Energy Value
2025-10-05,123155.12,0.03159476792,35535922611.27742,852862142.6706581,468.75,2.71223721,471.46223721,54269.169958405844,72358.89327787445,90448.61659734309,108538.33991681169,126628.06323628033,0.06808015679679155,100069.15807335725,166781.9301222621,90971.96188487018,265238.51262952894
2025-10-06,124672.41,0.03159476792,29376362691.989334,705032704.607744,387.5,4.42231989,391.92231989,53967.278883654086,71956.37184487212,89945.46480609017,107934.55776730817,125923.65072852623,0.06930444479261756,100069.15807335723,166781.93012226207,90971.9618848702,219393.56367026924
2025-10-07,121697.21,0.03159476792,33403767254.60077,801690414.1104184,440.625,4.21039757,444.83539757,54066.54361297292,72088.72481729722,90110.90602162153,108133.08722594584,126155.26843027015,0.06752634912515447,100069.1580733572,166781.930122262,90971.9618848702,249560.30433565084
2025-10-08,123101.91,0.03159476792,35062110309.79372,841490647.4350492,462.5,3.37913087,465.87913087,54187.27251402858,72249.69668537144,90312.12085671432,108374.54502805715,126436.96919940005,0.06815359269178757,100069.15807335722,166781.93012226204,90971.96188487018,262042.87798989844
2025-10-09,121587.9,0.03159476792,29139456541.247482,699346956.9899396,384.375,3.84873743,388.22373743,54042.05535855758,72056.07381141013,90070.09226426265,108084.11071711517,126098.12916996771,0.06749626704237471,100069.15807335723,166781.93012226207,90971.9618848702,217804.6692908744
2025-10-10,113729.1,0.03159476792,31271611897.924126,750518685.550179,412.5,4.02978368,416.52978368,54055.10349723996,72073.47132965329,90091.8391620666,108110.20699447992,126128.57482689325,0.06311842507477966,100069.15807335722,166781.93012226204,90971.9618848702,233852.3743198887
2025-10-11,110944.48,0.03159476792,34825204159.051865,835804899.8172448,459.375,3.59960947,462.97460947,54158.79506485572,72211.72675314097,90264.65844142622,108317.59012971145,126370.52181799669,0.061455104309730016,100069.15807335722,166781.93012226204,90971.9618848702,260395.65519954878
2025-10-12,114915.63,0.03159476792,34588298008.31001,830119152.1994404,456.25,2.45261514,458.70261514,54291.32894387887,72388.4385918385,90485.54823979812,108582.65788775774,126679.76753571737,0.0634994384382018,100069.15807335722,166781.93012226204,90971.9618848702,258624.25618458577
2025-10-13,115284.24,0.03159476792,36009734912.76111,864233637.9062666,475.0,2.87061913,477.87061913,54255.29023816132,72340.38698421509,90425.48373026887,108510.58047632263,126595.67722237643,0.06374543726184677,100069.15807335719,166781.93012226198,90971.96188487018,269188.86899986974
2025-10-14,113449.13,0.03159476792,40510951776.856255,972262842.6445501,534.375,2.75846503,537.13346503,54302.86358662723,72403.81811550299,90504.77264437874,108605.72717325446,126706.68170213023,0.06267577205335721,100069.15807335722,166781.93012226204,90971.9618848702,302658.24142834253
2025-10-15,110936.1,0.03159476792,34114485706.826317,818747656.9638315,450.0,2.96788477,452.96788477,54225.543432040045,72300.7245760534,90375.90572006676,108451.08686408009,126526.26800809345,0.061374820598543746,100069.1580733572,166781.930122262,90971.96188487018,254960.6380442255
2025-10-16,108281.67,0.03159476792,35486212058.66925,851669089.408062,481.25,3.19953605,484.44953605,52740.421408113056,70320.56187748408,87900.7023468551,105480.84281622611,123060.98328559715,0.061593176794379784,97333.61021806425,162222.68369677375,88485.10019824022,265149.6828844941
2025-10-17,106995.08,0.03159476792,36868791749.26676,884851001.9824023,500.0,3.710046,503.710046,52700.02111387723,70266.69481850298,87833.36852312872,105400.04222775446,122966.7159323802,0.060907990777915755,97333.61021806426,162222.68369677378,88485.10019824024,275480.1900098641
2025-10-18,107176.07,0.03159476792,38251371439.864265,918032914.5567424,518.75,2.57891787,521.32891787,52828.428450174644,70437.90460023287,88047.38075029108,105656.85690034929,123266.33305040753,0.06086272475495853,97333.61021806426,162222.68369677378,88485.10019824022,285641.61839816865
2025-10-19,108648.11,0.03159476792,32029762832.1755,768714307.972212,434.375,2.23185996,436.60685996,52819.66765542608,70426.22354056811,88032.77942571015,105639.33531085216,123245.8911959942,0.06170889452132254,97333.61021806425,162222.68369677375,88485.10019824022,239351.76211769215
2025-10-20,110893.6,0.03159476792,34334062316.50467,824017495.596112,465.625,2.93085272,468.55585272,52758.97147454024,70345.295299387,87931.61912423374,105517.94294908048,123104.26677392724,0.06305672584245522,97333.61021806423,162222.68369677372,88485.10019824022,256692.88232596644
2025-10-21,108853.53,0.03159476792,34794922213.37051,835078133.120892,471.875,2.96690618,474.84190618,52759.33667095103,70345.7822279347,87932.22778491837,105518.67334190206,123105.11889888573,0.06189626530687644,97333.61021806425,162222.68369677375,88485.10019824024,260261.70802300627
