Category,Asset,Price,7 Day Return,MTD Return,YTD Return,90 Day Return,90 Day BTC Correlation
Bitcoin Industry Performance,Bitcoin - [BTC],77622.88,2.3088357443950436,13.70478545792897,-12.229071588320084,-9.937372712361281,1.0
Equity Market Indexes,S&P 500 Index ETF - [SPY],713.9400024414062,0.5351040237959293,8.958551535603721,4.981490104062525,3.8680601705549877,0.5201944146361376
Equity Market Indexes,Nasdaq-100 ETF - [QQQ],663.8800048828125,2.316410551345438,13.617772698855735,8.205483785606704,6.744138940563671,0.5199108098383664
Equity Market Indexes,US Total Stock Market ETF - [VTI],352.04998779296875,0.4336259432759393,8.912881583031918,5.333891657785328,3.6977183124596635,0.5289711700393508
Equity Market Indexes,International Stock ETF - [VXUS],82.48999786376953,-1.5044801626632465,5.742847846248678,9.458666938521553,3.8295276244995957,0.34634558333931104
Sectors,Technology Sector ETF - [XLK],160.22000122070312,3.803041713682065,18.760652932738942,11.425445808304158,10.565316142999603,0.5641238824759435
Sectors,Financials Sector ETF - [XLF],51.41999816894531,-1.9263820910768947,4.004853554277155,-5.6338957985819444,-2.611049116617603,0.4288057298482087
Sectors,Energy Sector ETF - [XLE],56.869998931884766,3.362410866465293,-3.5611365869890665,28.02856692118436,16.36830828498812,-0.02904935776334351
Sectors,Real Estate Sector ETF - [XLRE],43.83000183105469,-1.461325804566227,7.032969510275788,9.354652932947127,6.968727272185604,0.15093418162344074
Macro Asset Classes,US Dollar Index - [DXY],98.51000213623047,0.41794461619439893,-1.1440033840364627,0.2340286526153701,0.932380815918421,-0.15912269402389134
Macro Asset Classes,Gold ETF - [GLD],433.25,-2.8434940201477743,-1.0438096130299779,9.320986770197415,-5.403930131004364,0.1437141424095036
Macro Asset Classes,Aggregate Bond ETF - [AGG],99.58999633789062,-0.2603927292976982,0.5959558968592127,0.6888764734572339,0.4575416959526013,0.03216852452080816
Macro Asset Classes,Bloomberg Commodity Index - [BCOM],136.1199951171875,3.5290534989548705,1.1593323327123706,24.095170104403564,13.831738612532284,-0.10737662802733355
Bitcoin Industry Performance,MicroStrategy - [MSTR],171.02000427246094,2.702378023385754,39.289791474813306,12.550186052793698,4.849490302562964,0.7537239861596693
Bitcoin Industry Performance,Block - [XYZ],71.62999725341797,0.5192185042040443,20.30567039299069,10.047628335354863,7.182396065913044,0.31023016066941306
Bitcoin Industry Performance,Coinbase - [COIN],199.77000427246094,-3.1793716378508807,15.480662424948655,-11.660915887662549,-7.918872052291337,0.709304536443438
Bitcoin Industry Performance,Bitcoin Miners ETF - [WGMI],49.619998931884766,1.1208462206665937,42.34078618217314,29.657690980817762,0.9768000573834756,0.5693605185618912
