days_since_halving,index_value,Era
633,inf,Genesis Era
634,inf,Genesis Era
635,inf,Genesis Era
636,inf,Genesis Era
637,inf,Genesis Era
638,inf,Genesis Era
639,inf,Genesis Era
640,inf,Genesis Era
641,inf,Genesis Era
642,inf,Genesis Era
643,inf,Genesis Era
644,inf,Genesis Era
645,inf,Genesis Era
646,inf,Genesis Era
647,inf,Genesis Era
648,inf,Genesis Era
649,inf,Genesis Era
650,inf,Genesis Era
651,inf,Genesis Era
652,inf,Genesis Era
653,inf,Genesis Era
654,inf,Genesis Era
655,inf,Genesis Era
656,inf,Genesis Era
657,inf,Genesis Era
658,inf,Genesis Era
659,inf,Genesis Era
660,inf,Genesis Era
661,inf,Genesis Era
662,inf,Genesis Era
663,inf,Genesis Era
664,inf,Genesis Era
665,inf,Genesis Era
666,inf,Genesis Era
667,inf,Genesis Era
668,inf,Genesis Era
669,inf,Genesis Era
670,inf,Genesis Era
671,inf,Genesis Era
672,inf,Genesis Era
673,inf,Genesis Era
674,inf,Genesis Era
675,inf,Genesis Era
676,inf,Genesis Era
677,inf,Genesis Era
678,inf,Genesis Era
679,inf,Genesis Era
680,inf,Genesis Era
681,inf,Genesis Era
682,inf,Genesis Era
683,inf,Genesis Era
684,inf,Genesis Era
685,inf,Genesis Era
686,inf,Genesis Era
687,inf,Genesis Era
688,inf,Genesis Era
689,inf,Genesis Era
690,inf,Genesis Era
691,inf,Genesis Era
692,inf,Genesis Era
693,inf,Genesis Era
694,inf,Genesis Era
695,inf,Genesis Era
696,inf,Genesis Era
697,inf,Genesis Era
698,inf,Genesis Era
699,inf,Genesis Era
700,inf,Genesis Era
701,inf,Genesis Era
702,inf,Genesis Era
703,inf,Genesis Era
704,inf,Genesis Era
705,inf,Genesis Era
706,inf,Genesis Era
707,inf,Genesis Era
708,inf,Genesis Era
709,inf,Genesis Era
710,inf,Genesis Era
711,inf,Genesis Era
712,inf,Genesis Era
713,inf,Genesis Era
714,inf,Genesis Era
715,inf,Genesis Era
716,inf,Genesis Era
717,inf,Genesis Era
718,inf,Genesis Era
719,inf,Genesis Era
720,inf,Genesis Era
721,inf,Genesis Era
722,inf,Genesis Era
723,inf,Genesis Era
724,inf,Genesis Era
725,inf,Genesis Era
726,inf,Genesis Era
727,inf,Genesis Era
728,inf,Genesis Era
729,inf,Genesis Era
730,inf,Genesis Era
731,inf,Genesis Era
732,inf,Genesis Era
733,inf,Genesis Era
734,inf,Genesis Era
735,inf,Genesis Era
736,inf,Genesis Era
737,inf,Genesis Era
738,inf,Genesis Era
739,inf,Genesis Era
740,inf,Genesis Era
741,inf,Genesis Era
742,inf,Genesis Era
743,inf,Genesis Era
744,inf,Genesis Era
745,inf,Genesis Era
746,inf,Genesis Era
747,inf,Genesis Era
748,inf,Genesis Era
749,inf,Genesis Era
750,inf,Genesis Era
751,inf,Genesis Era
752,inf,Genesis Era
753,inf,Genesis Era
754,inf,Genesis Era
755,inf,Genesis Era
756,inf,Genesis Era
757,inf,Genesis Era
758,inf,Genesis Era
759,inf,Genesis Era
760,inf,Genesis Era
761,inf,Genesis Era
762,inf,Genesis Era
763,inf,Genesis Era
764,inf,Genesis Era
765,inf,Genesis Era
766,inf,Genesis Era
767,inf,Genesis Era
768,inf,Genesis Era
769,inf,Genesis Era
770,inf,Genesis Era
771,inf,Genesis Era
772,inf,Genesis Era
773,inf,Genesis Era
774,inf,Genesis Era
775,inf,Genesis Era
776,inf,Genesis Era
777,inf,Genesis Era
778,inf,Genesis Era
779,inf,Genesis Era
780,inf,Genesis Era
781,inf,Genesis Era
782,inf,Genesis Era
783,inf,Genesis Era
784,inf,Genesis Era
785,inf,Genesis Era
786,inf,Genesis Era
787,inf,Genesis Era
788,inf,Genesis Era
789,inf,Genesis Era
790,inf,Genesis Era
791,inf,Genesis Era
792,inf,Genesis Era
793,inf,Genesis Era
794,inf,Genesis Era
795,inf,Genesis Era
796,inf,Genesis Era
797,inf,Genesis Era
798,inf,Genesis Era
799,inf,Genesis Era
800,inf,Genesis Era
801,inf,Genesis Era
802,inf,Genesis Era
803,inf,Genesis Era
804,inf,Genesis Era
805,inf,Genesis Era
806,inf,Genesis Era
807,inf,Genesis Era
808,inf,Genesis Era
809,inf,Genesis Era
810,inf,Genesis Era
811,inf,Genesis Era
812,inf,Genesis Era
813,inf,Genesis Era
814,inf,Genesis Era
815,inf,Genesis Era
816,inf,Genesis Era
817,inf,Genesis Era
818,inf,Genesis Era
819,inf,Genesis Era
820,inf,Genesis Era
821,inf,Genesis Era
822,inf,Genesis Era
823,inf,Genesis Era
824,inf,Genesis Era
825,inf,Genesis Era
826,inf,Genesis Era
827,inf,Genesis Era
828,inf,Genesis Era
829,inf,Genesis Era
830,inf,Genesis Era
831,inf,Genesis Era
832,inf,Genesis Era
833,inf,Genesis Era
834,inf,Genesis Era
835,inf,Genesis Era
836,inf,Genesis Era
837,inf,Genesis Era
838,inf,Genesis Era
839,inf,Genesis Era
840,inf,Genesis Era
841,inf,Genesis Era
842,inf,Genesis Era
843,inf,Genesis Era
844,inf,Genesis Era
845,inf,Genesis Era
846,inf,Genesis Era
847,inf,Genesis Era
848,inf,Genesis Era
849,inf,Genesis Era
850,inf,Genesis Era
851,inf,Genesis Era
852,inf,Genesis Era
853,inf,Genesis Era
854,inf,Genesis Era
855,inf,Genesis Era
856,inf,Genesis Era
857,inf,Genesis Era
858,inf,Genesis Era
859,inf,Genesis Era
860,inf,Genesis Era
861,inf,Genesis Era
862,inf,Genesis Era
863,inf,Genesis Era
864,inf,Genesis Era
865,inf,Genesis Era
866,inf,Genesis Era
867,inf,Genesis Era
868,inf,Genesis Era
869,inf,Genesis Era
870,inf,Genesis Era
871,inf,Genesis Era
872,inf,Genesis Era
873,inf,Genesis Era
874,inf,Genesis Era
875,inf,Genesis Era
876,inf,Genesis Era
877,inf,Genesis Era
878,inf,Genesis Era
879,inf,Genesis Era
880,inf,Genesis Era
881,inf,Genesis Era
882,inf,Genesis Era
883,inf,Genesis Era
884,inf,Genesis Era
885,inf,Genesis Era
886,inf,Genesis Era
887,inf,Genesis Era
888,inf,Genesis Era
889,inf,Genesis Era
890,inf,Genesis Era
891,inf,Genesis Era
892,inf,Genesis Era
893,inf,Genesis Era
894,inf,Genesis Era
895,inf,Genesis Era
896,inf,Genesis Era
897,inf,Genesis Era
898,inf,Genesis Era
899,inf,Genesis Era
900,inf,Genesis Era
901,inf,Genesis Era
902,inf,Genesis Era
903,inf,Genesis Era
904,inf,Genesis Era
905,inf,Genesis Era
906,inf,Genesis Era
907,inf,Genesis Era
908,inf,Genesis Era
909,inf,Genesis Era
910,inf,Genesis Era
911,inf,Genesis Era
912,inf,Genesis Era
913,inf,Genesis Era
914,inf,Genesis Era
915,inf,Genesis Era
916,inf,Genesis Era
917,inf,Genesis Era
918,inf,Genesis Era
919,inf,Genesis Era
920,inf,Genesis Era
921,inf,Genesis Era
922,inf,Genesis Era
923,inf,Genesis Era
924,inf,Genesis Era
925,inf,Genesis Era
926,inf,Genesis Era
927,inf,Genesis Era
928,inf,Genesis Era
929,inf,Genesis Era
930,inf,Genesis Era
931,inf,Genesis Era
932,inf,Genesis Era
933,inf,Genesis Era
934,inf,Genesis Era
935,inf,Genesis Era
936,inf,Genesis Era
937,inf,Genesis Era
938,inf,Genesis Era
939,inf,Genesis Era
940,inf,Genesis Era
941,inf,Genesis Era
942,inf,Genesis Era
943,inf,Genesis Era
944,inf,Genesis Era
945,inf,Genesis Era
946,inf,Genesis Era
947,inf,Genesis Era
948,inf,Genesis Era
949,inf,Genesis Era
950,inf,Genesis Era
951,inf,Genesis Era
952,inf,Genesis Era
953,inf,Genesis Era
954,inf,Genesis Era
955,inf,Genesis Era
956,inf,Genesis Era
957,inf,Genesis Era
958,inf,Genesis Era
959,inf,Genesis Era
960,inf,Genesis Era
961,inf,Genesis Era
962,inf,Genesis Era
963,inf,Genesis Era
964,inf,Genesis Era
965,inf,Genesis Era
966,inf,Genesis Era
967,inf,Genesis Era
968,inf,Genesis Era
969,inf,Genesis Era
970,inf,Genesis Era
971,inf,Genesis Era
972,inf,Genesis Era
973,inf,Genesis Era
974,inf,Genesis Era
975,inf,Genesis Era
976,inf,Genesis Era
977,inf,Genesis Era
978,inf,Genesis Era
979,inf,Genesis Era
980,inf,Genesis Era
981,inf,Genesis Era
982,inf,Genesis Era
983,inf,Genesis Era
984,inf,Genesis Era
985,inf,Genesis Era
986,inf,Genesis Era
987,inf,Genesis Era
988,inf,Genesis Era
989,inf,Genesis Era
990,inf,Genesis Era
991,inf,Genesis Era
992,inf,Genesis Era
993,inf,Genesis Era
994,inf,Genesis Era
995,inf,Genesis Era
996,inf,Genesis Era
997,inf,Genesis Era
998,inf,Genesis Era
999,inf,Genesis Era
1000,inf,Genesis Era
1001,inf,Genesis Era
1002,inf,Genesis Era
1003,inf,Genesis Era
1004,inf,Genesis Era
1005,inf,Genesis Era
1006,inf,Genesis Era
1007,inf,Genesis Era
1008,inf,Genesis Era
1009,inf,Genesis Era
1010,inf,Genesis Era
1011,inf,Genesis Era
1012,inf,Genesis Era
1013,inf,Genesis Era
1014,inf,Genesis Era
1015,inf,Genesis Era
1016,inf,Genesis Era
1017,inf,Genesis Era
1018,inf,Genesis Era
1019,inf,Genesis Era
1020,inf,Genesis Era
1021,inf,Genesis Era
1022,inf,Genesis Era
1023,inf,Genesis Era
1024,inf,Genesis Era
1025,inf,Genesis Era
1026,inf,Genesis Era
1027,inf,Genesis Era
1028,inf,Genesis Era
1029,inf,Genesis Era
1030,inf,Genesis Era
1031,inf,Genesis Era
1032,inf,Genesis Era
1033,inf,Genesis Era
1034,inf,Genesis Era
1035,inf,Genesis Era
1036,inf,Genesis Era
1037,inf,Genesis Era
1038,inf,Genesis Era
