Value,Category
122348.127640269,Market Data
2438354357753.2856,Market Data
817.3398476029195,Market Data
19929641.79167985,On-chain Data
53628195.0844644,On-chain Data
14679293348.187778,On-chain Data
59.4,Investor Sentiment
Neutral,Investor Sentiment
Fair Value,Investor Sentiment
