Asset,Price,7 Day Return,MTD Return,YTD Return,90 Day Return,90 Day BTC Correlation
Bitcoin - [BTC],95790.5109985389,-0.01627430744628322,-4.790543214012444,1.4130571919271029,0.03833294064525328,1.0
S&P 500 Index ETF - [SPY],609.7000122070312,0.00801857785708826,1.309362398543068,4.030165579517897,0.03286468713407209,0.3457710267218362
Nasdaq-100 ETF - [QQQ],538.1500244140625,0.016816295539088255,3.036636170316953,5.2657341801583435,0.06890325656011864,0.3631701067776125
US Total Stock Market ETF - [VTI],301.8399963378906,0.0064352394125393175,1.0850603376249657,4.150995093557697,0.03076874015223674,0.35845809180202914
International Stock ETF - [VXUS],62.90999984741211,0.017302711710608598,3.2665819735385737,6.753774854277017,0.0343636988338516,0.2267315234803192
Technology Sector ETF - [XLK],239.97000122070312,0.01587503166802673,3.9686338369220753,3.204024088831714,0.03734923840945803,0.24290701846297313
Financials Sector ETF - [XLF],51.79999923706055,0.007586060898774116,0.641146315389407,7.179799864555747,0.04246328574493874,0.2763201769113842
Energy Sector ETF - [XLE],90.06999969482422,-0.004861368147400791,2.7727068942252853,5.148255713495309,-0.05567202465403154,0.20086355639304435
Real Estate Sector ETF - [XLRE],42.060001373291016,0.0007138376127890922,1.545155076384197,3.4177606759940193,-0.033991720512539736,0.13915549664183996
US Dollar Index - [DXY],106.57499694824219,-0.01495479220789564,-1.5173271083871454,-1.5891636895312033,0.004069973674516447,-0.0482965860216249
Gold ETF - [GLD],266.2900085449219,-0.007750443827959863,2.9896391782632037,9.978112243380366,0.09471740409012086,0.2774630764479862
Aggregate Bond ETF - [AGG],97.69999694824219,0.002154057740016535,0.3080035088947941,0.8255886581690408,-0.0019409790845942299,0.1381883744307997
Bloomberg Commodity Index - [BCOM],105.87999725341797,0.002936417159134841,3.509625873261357,7.209391416745925,0.08140121839657266,0.28343806754372364
MicroStrategy - [MSTR],337.7300109863281,0.009294172238725418,0.878163137001664,16.61142762248653,-0.21556648793746214,0.5209321158224749
Block - [XYZ],84.0,-0.01001766045264385,-7.509358861199034,-1.1648404384671185,-0.09110580324350814,0.47776342415429207
Coinbase - [COIN],274.30999755859375,-0.021090584670487633,-5.842168605410625,10.475229233651762,-0.1548510602688541,0.46386130746011717
Bitcoin Miners ETF - [WGMI],23.399999618530273,-0.004255335381690539,3.7694031495697944,5.452902457643161,-0.11731424305924043,0.5289616927201487
