Asset,Price,Market Cap,Week To Date Return,MTD,YTD,90 Day BTC Correlation
Bitcoin,83987.89564173,"1,665.4 Billion",-0.08579284158304204,-16.521565264754713,-11.082327723731545,1.0
COIN,212.9600067138672,54.9 Billion,-0.0621394290537226,-26.900759781196925,-14.232781274079986,0.5575856277082765
XYZ,65.29000091552734,41.1 Billion,-0.00955699743503267,-28.110547087737782,-23.17919454453842,0.41059810835751526
MSTR,263.2699890136719,66.9 Billion,-0.06892778355789446,-21.36265052893701,-9.098130843091045,0.5947882681703371
MARA,12.449999809265137,4.7 Billion,-0.10367174215008994,-32.11559593412346,-25.760289389250378,0.6014248596218752
RIOT,8.9399995803833,3.2 Billion,-0.10510512660575752,-24.74747900451494,-12.43878994141675,0.5222186612883493
