Metric,date,Value
Bitcoin Miner Revenue,2026-05-16,37428872.23
Bitcoin Miner Revenue,2026-05-17,35294185.63
Bitcoin Miner Revenue,2026-05-18,33777027.92
Bitcoin Miner Revenue,2026-05-19,34247266.25
Bitcoin Miner Revenue,2026-05-20,37087336.05
Bitcoin Miner Revenue,2026-05-21,30948106.08
Bitcoin Miner Revenue,2026-05-22,38217694.25
Bitcoin Miner Revenue,2026-05-23,38873967.85
Bitcoin Miner Revenue,2026-05-24,31573780.77
Bitcoin Miner Revenue,2026-05-25,40550867.48
Bitcoin Miner Revenue,2026-05-26,33510484.61
Bitcoin Miner Revenue,2026-05-27,33205006.52
Bitcoin Miner Revenue,2026-05-28,37860812.87
Bitcoin Miner Revenue,2026-05-29,32403064.1
Bitcoin Miner Revenue,2026-05-30,32861667.21
Bitcoin Miner Revenue,2026-05-31,33867173.54
Bitcoin Miner Revenue,2026-06-01,30721631.17
Bitcoin Miner Revenue,2026-06-02,24042309.63
Bitcoin Miner Revenue,2026-06-03,22944723.41
Bitcoin Miner Revenue,2026-06-04,28838410.93
Bitcoin Miner Revenue,2026-06-05,26334356.74
Bitcoin Miner Revenue,2026-06-06,23360274.6
Bitcoin Miner Revenue,2026-06-07,22793371.0
Bitcoin Miner Revenue,2026-06-08,26082724.03
Bitcoin Transaction Volume,2026-05-10,44694132005.95
Bitcoin Transaction Volume,2026-05-11,62889306426.76
Bitcoin Transaction Volume,2026-05-12,57672554821.5
Bitcoin Transaction Volume,2026-05-13,63030315327.59
Bitcoin Transaction Volume,2026-05-14,64955622046.66
Bitcoin Transaction Volume,2026-05-15,62716340143.72
Bitcoin Transaction Volume,2026-05-16,46793418264.07
Bitcoin Transaction Volume,2026-05-17,35074281970.97
Bitcoin Transaction Volume,2026-05-18,56883194703.14
Bitcoin Transaction Volume,2026-05-19,59465357417.71
Bitcoin Transaction Volume,2026-05-20,49832385814.97
Bitcoin Transaction Volume,2026-05-21,48445493055.68
Bitcoin Transaction Volume,2026-05-22,59879474792.98
Bitcoin Transaction Volume,2026-05-23,40377927985.69
Bitcoin Transaction Volume,2026-05-24,39295916645.44
Bitcoin Transaction Volume,2026-05-25,52583987676.38
Bitcoin Transaction Volume,2026-05-26,56605351797.48
Bitcoin Transaction Volume,2026-05-27,68729786203.79
Bitcoin Transaction Volume,2026-05-28,77653350692.95
Bitcoin Transaction Volume,2026-05-29,63168688439.97
Bitcoin Transaction Volume,2026-05-30,41337957895.12
Bitcoin Transaction Volume,2026-05-31,43350604465.43
Bitcoin Transaction Volume,2026-06-01,64795548610.95
Bitcoin Transaction Volume,2026-06-02,79327617943.32
Bitcoin Transaction Volume,2026-06-03,69039596656.28
Bitcoin Transaction Volume,2026-06-04,65435119243.32
Bitcoin Transaction Volume,2026-06-05,67174917478.0
Bitcoin Transaction Volume,2026-06-06,40549054219.87
Bitcoin Transaction Volume,2026-06-07,35202778616.03
Bitcoin Transaction Volume,2026-06-08,50461583118.37
Bitcoin Dominance,2026-06-08,55.90525950230704
Bitcoin Fear & Greed Index,2026-05-10,47.0
Bitcoin Fear & Greed Index,2026-05-11,48.0
Bitcoin Fear & Greed Index,2026-05-12,49.0
Bitcoin Fear & Greed Index,2026-05-13,42.0
Bitcoin Fear & Greed Index,2026-05-14,34.0
Bitcoin Fear & Greed Index,2026-05-15,43.0
Bitcoin Fear & Greed Index,2026-05-16,31.0
Bitcoin Fear & Greed Index,2026-05-17,27.0
Bitcoin Fear & Greed Index,2026-05-18,28.0
Bitcoin Fear & Greed Index,2026-05-19,25.0
Bitcoin Fear & Greed Index,2026-05-20,27.0
Bitcoin Fear & Greed Index,2026-05-21,29.0
Bitcoin Fear & Greed Index,2026-05-22,28.0
Bitcoin Fear & Greed Index,2026-05-23,28.0
Bitcoin Fear & Greed Index,2026-05-24,25.0
Bitcoin Fear & Greed Index,2026-05-25,30.0
Bitcoin Fear & Greed Index,2026-05-26,34.0
Bitcoin Fear & Greed Index,2026-05-27,25.0
Bitcoin Fear & Greed Index,2026-05-28,22.0
Bitcoin Fear & Greed Index,2026-05-29,23.0
Bitcoin Fear & Greed Index,2026-05-30,23.0
Bitcoin Fear & Greed Index,2026-05-31,28.0
Bitcoin Fear & Greed Index,2026-06-01,29.0
Bitcoin Fear & Greed Index,2026-06-02,23.0
Bitcoin Fear & Greed Index,2026-06-03,11.0
Bitcoin Fear & Greed Index,2026-06-04,12.0
Bitcoin Fear & Greed Index,2026-06-05,12.0
Bitcoin Fear & Greed Index,2026-06-06,12.0
Bitcoin Fear & Greed Index,2026-06-07,12.0
Bitcoin Fear & Greed Index,2026-06-08,8.0
