timestamp,price_close,market_cap,difficulty,difficulty_adjustment,hash_rate,realized_price,realized_cap,sth_realized_price,sth_realized_cap,lth_realized_price,lth_realized_cap,coindays_destroyed_sum_24h,utxo_count,supply,supply_usd,sth_supply,lth_supply,fees_sum_24h_usd,fees_sum_24h,subsidy_sum_24h_usd,subsidy_sum_24h,coinbase_sum_24h_usd,coinbase_sum_24h,fees_average_24h_usd,fees_average_24h,effective_fee_rate_median,fee_dominance,utxos_over_1y_old_supply,tx_count_sum_24h,velocity_btc,velocity_usd,transfer_volume_sum_24h_usd,inflation_rate,nvt,puell_multiple,liveliness,realized_profit_sum_24h,realized_loss_sum_24h,net_realized_pnl_sum_24h,supply_in_profit,supply_in_loss,sopr_24h,active_supply,active_supply_sats,active_supply_usd,hash_price_ths,hash_price_phs,addr_count,addrs_over_1sat_addr_count,addrs_over_10sats_addr_count,addrs_over_100sats_addr_count,addrs_over_1k_sats_addr_count,addrs_over_10k_sats_addr_count,addrs_over_100k_sats_addr_count,addrs_over_1m_sats_addr_count,addrs_over_10m_sats_addr_count,addrs_over_1btc_addr_count,addrs_over_10btc_addr_count,addrs_over_100btc_addr_count,addrs_over_1k_btc_addr_count,addrs_over_10k_btc_addr_count,addrs_over_100k_btc_addr_count,active_addrs_average_24h,addrs_under_1btc_addr_count,addrs_under_10btc_addr_count,addrs_under_10k_sats_addr_count,addrs_under_1k_sats_addr_count,addrs_under_10sats_addr_count,utxos_1h_to_1d_old_supply,utxos_under_1m_old_supply,utxos_under_3m_old_supply,utxos_under_6m_old_supply,utxos_under_1y_old_supply,utxos_under_2y_old_supply,utxos_under_3y_old_supply,utxos_under_4y_old_supply,utxos_under_5y_old_supply,utxos_under_10y_old_supply
1262304000,0.0,0.0,1.1828995343128408,18.2899,7761897.633000013,0.0,0.0,0.0,0.0,0.0,0.0,155.74710647016764,30024,1631000.0,0.0,616299.53,1014700.47,0.0,0.0,0.0,6600.0,0.0,6600.0,0.0,0.0,0.0,0.0002,0.0,134,0.21626798896382587,0.0,0.0,,0.0,0.0,0.008926327613623051,0.0,0.0,0.0,1631000.0,0.0,1.0,14558.84033781,1455884033781,0.0,0.0,0.0,29960,29960,29960,29960,29960,29960,29960,29960,29953,29950,29940,35,9,4,0,1.030303,10,20,0,0,0,6300.0,210500.0,431549.88,696349.67,1631000.0,1631000.0,1631000.0,1631000.0,1631000.0,1631000.0
1262390400,0.0,0.0,1.1828995343128408,18.2899,7467886.35902274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30151,1637350.0,0.0,618649.53,1018700.47,0.0,0.0,0.0,6350.0,0.0,6350.0,0.0,0.0,0.0,0.0002,0.0,127,0.21542925458820655,0.0,0.0,,0.0,0.0,0.008857226437513696,0.0,0.0,0.0,1637350.0,0.0,1.0,14502.37970746,1450237970746,0.0,0.0,0.0,30087,30087,30087,30087,30087,30087,30087,30087,30080,30077,30067,35,9,4,0,1.0,10,20,0,0,0,6050.0,213400.0,435999.88,698549.67,1637350.0,1637350.0,1637350.0,1637350.0,1637350.0,1637350.0
1262476800,0.0,0.0,1.1828995343128408,18.2899,10937219.391954565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30337,1646650.0,0.0,623999.53,1022650.47,0.0,0.0,0.0,9300.0,0.0,9300.0,0.0,0.0,0.0,0.0002,0.0,186,0.2142125466856952,0.0,0.0,,0.0,0.0,0.008757462249324352,0.0,0.0,0.0,1646650.0,0.0,1.0,14420.47521284,1442047521284,0.0,0.0,0.0,30273,30273,30273,30273,30273,30273,30273,30273,30266,30263,30253,35,9,4,0,1.0,10,20,0,0,0,8850.0,221500.0,443049.88,704649.67,1646650.0,1646650.0,1646650.0,1646650.0,1646650.0,1646650.0
1262563200,0.0,0.0,1.1828995343128408,18.2899,10643208.117977291,0.0,0.0,0.0,0.0,0.0,0.0,434320.6688033994,30439,1655700.0,0.0,624099.53,1031600.47,0.0,0.0,0.0,9050.0,0.0,9050.0,0.0,0.0,0.0,0.0002,0.0,183,0.22560695778220693,0.0,0.0,,0.0,0.0,0.01115895131520592,0.0,0.0,0.0,1655700.0,0.0,1.0,18475.87569258,1847587569258,0.0,0.0,0.0,30374,30374,30374,30374,30374,30374,30374,30374,30367,30364,30354,35,9,4,0,1.4696133,10,20,0,0,0,29404.35,227404.35,450599.88,710199.67,1655700.0,1655700.0,1655700.0,1655700.0,1655700.0,1655700.0
1262649600,0.0,0.0,1.1828995343128408,18.2899,11642846.44950002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30637,1665600.0,0.0,630249.53,1035350.47,0.0,0.0,0.0,9900.0,0.0,9900.0,0.0,0.0,0.0,0.0002,0.0,198,0.22426599423631124,0.0,0.0,,0.0,0.0,0.011026694287117448,0.0,0.0,0.0,1665600.0,0.0,1.0,18366.06200462,1836606200462,0.0,0.0,0.0,30572,30572,30572,30572,30572,30572,30572,30572,30565,30562,30552,35,9,4,0,1.0,10,20,0,0,0,9650.0,234054.35,458249.88,716249.67,1665600.0,1665600.0,1665600.0,1665600.0,1665600.0,1665600.0
1262736000,0.0,0.0,1.1828995343128408,18.2899,9643569.786454562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30800,1673750.0,0.0,634049.53,1039700.47,0.0,0.0,0.0,8200.0,0.0,8200.0,0.0,0.0,0.0,0.0002,0.0,164,0.22317397460791635,0.0,0.0,,0.0,0.0,0.010919572642413845,0.0,0.0,0.0,1673750.0,0.0,1.0,18276.63471024,1827663471024,0.0,0.0,0.0,30735,30735,30735,30735,30735,30735,30735,30735,30728,30725,30715,35,9,4,0,1.0,10,20,0,0,0,7800.0,238454.35,463649.88,720599.67,1673750.0,1673750.0,1673750.0,1673750.0,1673750.0,1673750.0
1262822400,0.0,0.0,1.1828995343128408,18.2899,9114349.49329547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30954,1681450.0,0.0,638349.53,1043100.47,0.0,0.0,0.0,7750.0,0.0,7750.0,0.0,0.0,0.0,0.0002,0.0,155,0.22215197597311845,0.0,0.0,,0.0,0.0,0.010819793349316275,0.0,0.0,0.0,1681450.0,0.0,1.0,18192.9415272,1819294152720,0.0,0.0,0.0,30889,30889,30889,30889,30889,30889,30889,30889,30882,30879,30869,35,9,4,0,1.0,10,20,0,0,0,7550.0,242554.35,468149.88,724549.67,1681450.0,1681450.0,1681450.0,1681450.0,1681450.0,1681450.0
1262908800,0.0,0.0,1.1828995343128408,18.2899,8996744.983704561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31107,1689100.0,0.0,642649.53,1046450.47,0.0,0.0,0.0,7650.0,0.0,7650.0,0.0,0.0,0.0,0.0002,0.0,153,0.22114584098040377,0.0,0.0,,0.0,0.0,0.010722010196007456,0.0,0.0,0.0,1689100.0,0.0,1.0,18110.54742207,1811054742207,0.0,0.0,0.0,31042,31042,31042,31042,31042,31042,31042,31042,31035,31032,31022,35,9,4,0,1.0,10,20,0,0,0,7200.0,247051.35,472549.88,728499.67,1689100.0,1689100.0,1689100.0,1689100.0,1689100.0,1689100.0
1262995200,0.0,0.0,1.1828995343128408,18.2899,9055547.238500016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31258,1696650.0,0.0,647149.53,1049500.47,0.0,0.0,0.0,7700.0,0.0,7700.0,0.0,0.0,0.0,0.0002,650.0,154,0.2201617540447352,0.0,0.0,226120.0,0.0,0.0,0.010626799191555528,0.0,0.0,0.0,1696650.0,0.0,1.0,18029.95884835,1802995884835,0.0,0.0,0.0,31193,31193,31193,31193,31193,31193,31193,31193,31186,31183,31173,35,9,4,0,1.0,10,20,0,0,0,7300.0,251351.35,477349.88,732699.67,1696000.0,1696650.0,1696650.0,1696650.0,1696650.0,1696650.0
1263081600,0.0,0.0,1.1828995343128408,18.2899,11172428.411136383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31448,1706150.0,0.0,652799.53,1053350.47,0.0,0.0,0.0,9500.0,0.0,9500.0,0.0,0.0,0.0,0.0002,3650.0,190,0.2189358731647276,0.0,0.0,45397.336,0.0,0.0,0.010508788396372528,0.0,0.0,0.0,1706150.0,0.0,1.0,17929.56932247,1792956932247,0.0,0.0,0.0,31383,31383,31383,31383,31383,31383,31383,31383,31376,31373,31363,35,9,4,0,1.0,10,20,0,0,0,9050.0,256001.35,484649.88,739049.67,1702500.0,1706150.0,1706150.0,1706150.0,1706150.0,1706150.0
