Price Range ($),Count,Is Current Bucket,Current Price
$0K-$5K,2977,False,64541.21
$5K-$10K,720,False,64541.21
$10K-$15K,245,False,64541.21
$15K-$20K,183,False,64541.21
$20K-$25K,163,False,64541.21
$25K-$30K,218,False,64541.21
$30K-$35K,112,False,64541.21
$35K-$40K,140,False,64541.21
$40K-$45K,147,False,64541.21
$45K-$50K,106,False,64541.21
$50K-$55K,60,False,64541.21
$55K-$60K,108,False,64541.21
$60K-$65K,169,True,64541.21
$65K-$70K,145,False,64541.21
$70K-$75K,52,False,64541.21
$75K-$80K,44,False,64541.21
$80K-$85K,43,False,64541.21
$85K-$90K,57,False,64541.21
$90K-$95K,67,False,64541.21
$95K-$100K,66,False,64541.21
$100K-$105K,54,False,64541.21
$105K-$110K,65,False,64541.21
$110K-$115K,43,False,64541.21
$115K-$120K,44,False,64541.21
$120K-$125K,11,False,64541.21
