time,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Yearly
2012,,-0.058490566037735725,-0.018036072144288595,0.020408163265306145,0.03200000000000003,0.27519379844961245,0.41033434650455924,0.09482758620689657,0.2027559055118111,-0.1014729950900164,0.1320582877959926,0.06516492357200332,1.6480000000000001
2013,0.5453172205438066,0.6378299120234603,1.8689943300507315,0.44830455585604345,-0.08115484056305666,-0.3001406909488822,0.09258431985704707,0.30277011141776566,-0.009650843468026693,0.6084614165742355,4.540636390503398,-0.34928791138452775,54.367624810892586
2014,0.09705448385157656,-0.31818181818181823,-0.16851141552511417,-0.014036552148317338,0.3956110059039766,0.015436927301171854,-0.08498797339999065,-0.17794615397831726,-0.18444593069431092,-0.13436354783321802,0.11634791876369244,-0.14877479579929975,-0.5745848298895972
2015,-0.28898996822231915,0.1054684076768031,-0.03234373142019109,-0.028755171425060344,-0.03213698283497113,0.1461501590483243,0.08474318518800139,-0.1948338707416235,0.03255996169416275,0.31195986678470544,0.20847659136917196,0.14693291499375172,0.37202201087820863
2016,-0.1218963718558016,0.150671911714233,-0.04363986784140961,0.07859507701165969,0.17425152364429009,0.2661577511744204,-0.05658034498750797,-0.09544726534625214,0.06032397181024529,0.15819321131557618,0.059056972776976746,0.30030463147678854,1.224946375441105
2017,-0.008116765318709973,0.24396973370678476,-0.09962361797224173,0.2564710273397406,0.7054568678707225,0.07977356847376438,0.15069564866717755,0.6578689133588935,-0.08690358162827405,0.47836404340387495,0.5411318119106943,0.41858047654805963,12.971837188122379
2018,-0.2840696478354674,0.052823679608114515,-0.3413214454057506,0.33079934036349257,-0.18853867511429556,-0.15179770282023775,0.21063848219700265,-0.08766159418781361,-0.057367487336284384,-0.04497049118820429,-0.3693510163734983,-0.0691474130005576,-0.72563252269441
2019,-0.07420839877164864,0.11013238971895589,0.07864003234767458,0.2786279888903225,0.6217481443124293,0.28684289918496675,-0.08628659054440779,-0.041048091610674575,-0.14218622301577788,0.10909128422718561,-0.17441575438704005,-0.050243756312612575,0.8691820880571395
2020,0.3043824734556255,-0.07851283439452983,-0.25217705304810645,0.35116377643940755,0.08506044309615723,-0.033779783810230724,0.24190620869256407,0.02751455554937765,-0.07797558769644641,0.2853476495762326,0.41381252187853534,0.4870562338715547,3.0493834915609606
2021,0.1402269457876244,0.37047099012017304,0.2985457652342125,-0.030440054933816407,-0.35019462343453633,-0.06375532451605792,0.20210344536597757,0.12694500195144087,-0.07108785087102942,0.4070164822287812,-0.06561517212795565,-0.19435034169453203,0.5789027828574236
2022,-0.1689294265674972,0.12196622357007625,0.05914938091077837,-0.17526712894041996,-0.15685273154733814,-0.40164894100707926,0.22463263597622274,-0.14000592572235848,-0.030504598607934863,0.05211553258353807,-0.16075898805508704,-0.03543841905385159,-0.6506166412646608
2023,0.3969803635343341,0.003065536778433353,0.2304010605532949,0.03137572623312779,-0.07487478078773924,0.12208840921563713,-0.044081438773504567,-0.10908463463622964,0.036234231018369645,0.28620825465315813,0.08573582387719769,0.12438144867007472,1.548898866356898
2024,0.007323033583683358,0.44068354300259793,0.154731028878905,-0.1475975774744056,0.11685455814402279,-0.0701682840885196,0.029846647887772804,-0.08873770205643527,0.07628873822561055,0.10734452490618307,0.3759121107851173,-0.03306751722298884,1.1346852159774157
2025,0.0949338612339512,-0.17724904702578437,-0.021669731947438153,0.14654063968068587,0.10980419796842411,0.023428220692734758,0.08358001990413721,-0.06507298158402675,0.047305329045727706,-0.035375099769348606,-0.1708429824464628,-0.040111849620342976,-0.07588939576603015
2026,-0.10084017825649694,-0.14753184592665303,0.020282197360600218,0.11483192682144039,-0.029712945932671375,-0.06284756035079597,,,,,,,-0.24414108032999837
4-Year Average,0.09959927002386793,0.029742046707148473,0.09593613871134049,0.03628767881521211,0.030517757348009072,0.025116115273284095,0.023115076339468483,-0.08763177275889722,0.053276099429902635,0.11939255992999753,0.09693498407195074,0.0170673606089143,0.5908884015595712
Median,-0.00039686586751330744,0.1054684076768031,-0.018036072144288595,0.07859507701165969,0.03200000000000003,0.019432573996953306,0.08866375252252423,-0.07636728788592018,-0.020077721037980778,0.1336422477713809,0.10104187132044506,-0.034252968138420214,0.8691820880571395
Average,0.03851197322590434,0.09714108109020739,0.1155613906687771,0.11073478246528046,0.08848807738169429,0.013841500453544613,0.1042234708953608,0.015006282044331647,-0.014618140429439827,0.1777085808837631,0.3951560368764809,0.04442847321739425,5.032974557346629
