day,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Median,Average
11,74384.02968597197,81189.00001712989,77739.89407384697,98673.29085980446,72132.33098365329,107897.24604111977,75882.89248058792,76407.36777407624,58459.242862486055,74701.21449306149,82458.07652251664,83835.54402647013,,77073.63092396161,80313.34415172708
12,75091.72168640661,81115.42593464948,77948.54127283079,91589.23919723144,72957.63090802406,101934.82508690591,77777.01322552361,71004.54215061168,58965.25036752159,74026.95101142595,82728.20105067531,83049.26664591569,,77862.77724917719,79015.7173781435
13,74477.37035749212,79319.54946683225,78309.39831369629,96060.4927380682,74666.8614388928,114435.98288433508,82306.9848459237,66795.45671057848,59762.468116603966,74638.74261942357,85103.89498978938,84017.08906607304,,78814.47389026427,80824.5242956424
14,75712.86142779529,79383.09071988352,78502.6535061977,96640.75635548032,74539.28382558381,116669.33562898042,86247.9666232023,68006.05632940169,60897.55230911765,74644.17978071711,83471.23971619947,83739.87526500999,,78942.87211304062,81537.90429063077
15,75780.7455525372,79546.96026722624,78942.18080241774,93938.23228549608,73047.21033731515,120509.87294900138,82669.02609331357,65563.07806227391,63242.18374462112,75587.33308081284,89320.70369334017,83735.66231388829,,79244.57053482199,81823.59909852031
16,75860.50939910898,79169.05702539506,77986.16617756558,94969.27476865707,71433.49107894392,115598.1733591446,83108.09927074765,62064.325087831705,60820.28623055491,74761.60582028606,88367.48698095896,83723.59758629987,,78577.61160148031,80655.17273212453
17,76493.52886232751,79356.33650807246,77567.16155665542,97344.05735102891,69080.09676335538,106677.26221484874,86029.1359399152,58536.09520665529,61910.237608513795,75749.56021981574,90436.15479947426,83505.97965810988,,78461.74903236394,80223.80055739771
18,75841.84126480496,78011.93736456684,77892.10391572861,101975.42066778123,70773.76695190002,106773.73152415852,85550.44382022471,58001.56707860738,58730.974092510354,74682.46183472258,90447.23745594967,85599.08860052197,,77952.02064014773,80356.71454762307
19,75989.48923611866,77761.11662883816,75586.72338925146,106179.10820725575,70802.13663680026,120930.16149474421,85524.5900338525,53197.46825316774,61322.65792379688,74629.19984654104,89501.88279901679,85472.23106271561,,76875.30293247841,81408.06379267493
20,82956.09753775941,78326.29935334675,76038.22224606894,110626.18409736699,73159.8293894949,117121.0943457481,84229.25356987896,55508.48484633182,59291.82345141536,75135.79902788014,94809.17618477358,86455.03735701597,,80641.19844555308,82804.77511725675
21,83721.4910442247,78837.97365423322,76308.43747098243,110102.33499831439,72157.26191886867,117139.03528436975,80258.09433546965,50309.57165446406,59791.63585814342,74332.70811233054,94721.78693505668,88561.17329416325,,79548.03399485143,82186.7920467184
22,89634.19830924699,80409.78359813285,75689.33676580088,110706.23898532476,68938.24833885414,112971.73759043677,81135.09359401412,51010.661246311276,61381.15590125763,74625.92645351739,93571.69406997628,89721.63512808661,,80772.43859607348,82482.97583174665
23,88768.67571878734,79948.27344439209,76258.8410056502,121802.16882494996,64776.15765776178,116115.66649856695,81280.95130347926,46611.56834309935,59222.37741497844,75522.14262652815,91457.0041334233,87041.19551615076,,80614.61237393567,82400.4185406473
24,89437.33434749537,80376.34083336903,76378.55661162455,130939.17167468197,65038.53425871799,117915.936749436,79605.39652729442,52128.859232898234,59951.93656582408,73013.05913327662,92897.00521868563,87485.7063340213,,79990.86868033173,83763.98645727709
25,97089.57230902967,79396.46782578903,77223.40674521484,128832.49237479962,63690.028569792994,118225.93263971798,78597.09885877768,51806.64614894147,60100.70017239442,73247.6338062261,93629.90846333059,87686.27838703945,,78996.78334228336,84127.18052508781
26,99260.16719765293,79490.10756712775,77811.72343743156,124822.22604112914,63015.259912877766,127861.98136202201,77814.86740420511,52743.645862868005,59830.2079620316,73916.18272037967,92603.34865193021,88592.63700397995,,78652.48748566644,84813.52959363633
27,97193.09559926113,79506.82894950965,80671.21619727563,112827.96215676964,63073.460751294326,129356.07920133173,80451.60066145696,52645.43016488967,58382.89081482113,74579.15577014549,93752.3995578548,88199.17486256095,,80561.4084293663,84219.94122393093
28,98547.38388786264,79219.22117254078,89742.23868424511,120408.46158090638,61181.03083096372,128125.06610951465,84176.92832988329,47648.762434720615,58717.08082286343,78041.12952070718,92518.3274912038,87118.88848040646,,85647.90840514487,85453.70994548484
29,97179.51877431273,79202.49979015888,90113.35706276553,122753.15642015314,64027.455882621674,127086.55046569523,83255.28055289396,46946.60218741041,59576.2089314251,77038.13970576378,91439.49380683093,85641.66285705882,,84448.4717049764,85354.99386975753
30,105330.7050527002,77908.26479379898,91129.22949060488,116807.60346618782,63403.4087835584,121463.5367765529,85279.37613512072,48379.64064312039,64244.245973804784,76962.54651941238,92528.85533825857,83863.312306992,,84571.34422105635,85608.39377334267
31,106309.93355210256,76961.83455098282,90913.74139985109,123670.29530434065,64326.28323023759,125291.13309166643,83329.0476703246,50252.2712582929,64555.80863917649,75463.6931426227,91351.84745030935,84674.52777057774,,84001.78772045116,86425.03475504041
