time,PriceUSD,realised_price,thermocap_price,200_day_ma_priceUSD,Lagged_Energy_Value,mvrv_ratio,thermocap_multiple,200_day_multiple,Energy_Value_Multiple,PriceUSD_4_Year_CAGR,realised_price_4_Year_CAGR,thermocap_price_4_Year_CAGR,200_day_ma_priceUSD_4_Year_CAGR,Lagged_Energy_Value_4_Year_CAGR
2012-11-02,10.5305036388077,6.814489141567295,3.420629194296393,8.641013683891002,15.962010703767225,1.5453107958707144,3.0785282591771166,1.218665312200486,0.6597228779155232,,,,,
2012-11-03,10.650747019287,6.816985714042558,3.425764741291138,8.669423696449446,15.973312567838372,1.5623836496161545,3.1090129718810857,1.2285415261972954,0.6667838605206946,,,,,
2012-11-04,10.7968828924605,6.828746069103614,3.4313889429777995,8.69778622369667,15.9854659422746,1.5810930415630124,3.1465051242750803,1.241336889040219,0.6754187166923576,,,,,
2012-11-05,10.7408207352425,6.831459902904222,3.4370748364191774,8.725835794815898,15.997851546036179,1.57225847591908,3.124988906681046,1.2309217120065132,0.6713914493039395,,,,,
2012-11-06,10.8681974991233,6.836549089334981,3.4419536088911866,8.753344202470778,16.008301898968192,1.5897198070409078,3.1575665258964523,1.2416051794302305,0.6789100785151863,,,,,
2012-11-07,10.9540989444769,6.845875487900645,3.447682898522397,8.781701945498247,16.02045527417846,1.6001019831338008,3.1772350494216246,1.2473776737654239,0.6837570316826489,,,,,
2012-11-08,10.892699371128,6.8498573658026105,3.4532448027351967,8.810187397380188,16.032376419289225,1.5902082028027282,3.15433744010858,1.2363754458125455,0.6794188887695112,,,,,
2012-11-09,10.8158672180012,6.852237797777652,3.4586647666593655,8.83871229251169,16.044142743559487,1.5784430630106052,3.127179980628179,1.223692644364563,0.6741318243595754,,,,,
2012-11-10,10.8632604430158,6.8556169383867,3.463828051045941,8.867589258414672,16.05528978679017,1.5845780971496635,3.1362008399162646,1.2250522804388337,0.676615656726033,,,,,
2012-11-11,10.8418406388077,6.860810836872499,3.469071801577726,8.896054380381358,16.066669060894487,1.5802564589799932,3.1252857418162563,1.2187246362519346,0.674803258703836,,,,,
2012-11-12,11.0313424552893,6.873567195825981,3.4738973247495912,8.925723996228816,16.171851290746282,1.6048933750132184,3.1754946747265977,1.2359045002904103,0.6821323209669606,,,,,
2012-11-13,10.9980027790766,6.882095760065258,3.478987062418967,8.9552345734249,16.40131738483374,1.5980601204206888,3.161265788505003,1.228108843928412,0.6705560608958417,,,,,
2012-11-14,10.9589524184687,6.886847114308509,3.4841558132878596,8.985175652253071,16.412602794801135,1.5912873099360303,3.1453680620922553,1.2196703595572664,0.6677156911358425,,,,,
2012-11-15,11.1751098585622,6.89798147539141,3.4892157325845026,9.016538170657512,16.013444795763526,1.6200550695054008,3.2027569273524588,1.2394013807793018,0.6978579563042336,,,,,
2012-11-16,11.705044829924,6.927223808456941,3.4949725897272823,9.050352810756868,16.024602446450317,1.6897165666329659,3.349109193110256,1.2933246995644057,0.7304421354001727,,,,,
2012-11-17,11.7500423991818,6.9385460193578945,3.5005464594016003,9.084167336616016,16.035375349022708,1.6934444718533652,3.356630896191678,1.2934638876389148,0.7327575528126267,,,,,
2012-11-18,11.6656310321449,6.949303576428081,3.5062945615489047,9.117228305007307,16.04660994902447,1.6786762736505743,3.327053910436894,1.2795150721122093,0.7269841461344982,,,,,
2012-11-19,11.7505293506721,6.961068511719528,3.5120930894945315,9.150386586865869,16.057844547487353,1.688035296720485,3.3457340256215313,1.2841566024694935,0.7317625548013392,,,,,
